Material,Alloy_Type,Density_g_cm3,Yield_Strength_MPa,Tensile_Strength_MPa,Hardness_HB,Corrosion_Resistance_0_10,Thermal_Conductivity_W_mK,Cost_Index_1_10,Melting_Point_C,Machinability,Primary_Application
CSN 12020,Carbon Steel,7.86,350.0,550.0,161.8,3,47.19,1,1515.5,7,General Purpose
CSN 12020 (case-hardened),Carbon Steel,7.86,295.0,490.0,144.1,2,46.02,3,1510.1,7,General Purpose
CSN 12024,Aluminum,7.86,300.0,480.0,137.1,5,126.62,6,646.2,8,Aircraft
CSN 12030,Carbon Steel,7.86,320.0,500.0,147.1,4,50.93,2,1495.8,7,General Purpose
CSN 12031,Carbon Steel,7.86,350.0,550.0,161.8,3,54.37,2,1526.0,7,General Purpose
CSN 12040,Carbon Steel,7.86,370.0,600.0,176.5,3,50.02,1,1536.2,7,General Purpose
CSN 12041,Carbon Steel,7.86,400.0,630.0,185.3,2,46.88,1,1520.1,8,General Purpose
CSN 12050 (normalized),Carbon Steel,7.86,305.0,530.0,155.9,3,50.04,1,1513.1,7,General Purpose
CSN 12050 (heat treated),Carbon Steel,7.86,390.0,640.0,188.2,2,52.53,2,1513.2,7,General Purpose
CSN 12051,Carbon Steel,7.86,440.0,690.0,202.9,3,47.08,2,1522.1,6,General Purpose
CSN 12060,Carbon Steel,7.86,480.0,750.0,220.6,3,50.1,2,1527.4,7,General Purpose
CSN 12061 (heat treated),Carbon Steel,7.86,500.0,800.0,235.3,3,51.89,2,1516.5,7,General Purpose
CSN 12071 (heat treated),Carbon Steel,7.86,1470.0,1770.0,520.6,4,40.21,3,1551.5,6,Structural
CSN 13030,Carbon Steel,7.86,285.0,460.0,135.3,3,47.7,2,1490.2,6,General Purpose
CSN 13141,Carbon Steel,7.86,490.0,690.0,202.9,4,50.39,2,1501.4,7,General Purpose
CSN 13180 (heat treated),Carbon Steel,7.86,1320.0,1570.0,461.8,3,43.05,2,1539.8,6,Structural
CSN 13220 (normalized),Carbon Steel,7.86,430.0,670.0,197.1,3,50.91,3,1522.9,8,General Purpose
CSN 13221 (normalized),Carbon Steel,7.86,440.0,680.0,200.0,3,52.77,2,1507.7,7,General Purpose
CSN 13240,Carbon Steel,7.86,540.0,780.0,229.4,3,53.78,2,1518.8,7,General Purpose
CSN 13242,Carbon Steel,7.86,685.0,880.0,258.8,2,43.57,2,1549.0,6,Structural
CSN 13251 (heat treated),Carbon Steel,7.86,1080.0,1270.0,373.5,3,38.93,3,1542.1,6,Structural
CSN 13270 (heat treated),Carbon Steel,7.86,1210.0,1420.0,417.6,2,44.1,2,1550.6,7,Structural
CSN 14120,Carbon Steel,7.86,343.0,588.0,172.9,3,47.84,2,1516.7,7,General Purpose
CSN 14140 (heat treated),Carbon Steel,7.86,637.0,883.0,259.7,2,40.0,3,1536.2,6,Structural
CSN 14140 (face hardened),Carbon Steel,7.86,785.0,932.0,274.1,3,43.81,4,1530.8,6,Structural
CSN 14140 (nitro-case-hard.),Carbon Steel,7.86,1373.0,1716.0,504.7,3,42.45,3,1549.8,5,Structural
CSN 14141,Carbon Steel,7.86,687.0,883.0,259.7,3,42.12,3,1522.6,6,Structural
CSN 14146,Carbon Steel,7.86,785.0,932.0,274.1,3,42.3,2,1573.8,6,Structural
CSN 14148,Carbon Steel,7.86,490.0,657.0,193.2,3,48.54,2,1507.6,7,General Purpose
CSN 14220,Carbon Steel,7.86,680.0,900.0,264.7,3,41.62,3,1531.5,6,Structural
CSN 14220 (case-hardened),Carbon Steel,7.86,588.0,785.0,230.9,3,49.56,2,1512.2,7,General Purpose
CSN 14221,Carbon Steel,7.86,686.0,981.0,288.5,4,44.19,3,1561.9,6,Structural
CSN 14223 (case-hardened),Carbon Steel,7.86,687.0,883.0,259.7,2,44.63,3,1541.1,6,Structural
CSN 14230 (case-hardened),Carbon Steel,7.86,794.0,981.0,288.5,3,42.02,2,1536.6,6,Structural
CSN 14260 (heat treated),Carbon Steel,7.86,1175.0,1370.0,402.9,4,43.52,3,1503.5,6,Structural
CSN 14262 (heat treated),Carbon Steel,7.86,1275.0,1470.0,432.4,3,46.03,3,1512.2,5,Structural
CSN 15020,Carbon Steel,7.86,265.0,440.0,129.4,3,53.25,2,1528.7,7,General Purpose
CSN 15121,Carbon Steel,7.86,295.0,430.0,126.5,3,48.84,3,1554.8,7,General Purpose
CSN 15127,Carbon Steel,7.86,345.0,470.0,138.2,3,53.75,2,1511.9,7,General Purpose
CSN 15130,Carbon Steel,7.86,490.0,690.0,202.9,3,46.85,2,1504.2,7,General Purpose
CSN 15131,Carbon Steel,7.86,735.0,930.0,273.5,4,39.49,3,1578.3,6,Structural
CSN 15141,Carbon Steel,7.86,665.0,880.0,258.8,3,41.8,4,1556.4,7,Structural
CSN 15142,Carbon Steel,7.86,750.0,1000.0,294.1,3,43.32,3,1528.4,6,Structural
CSN 15217,Carbon Steel,7.86,345.0,470.0,138.2,3,49.11,2,1510.4,7,General Purpose
CSN 15222 (normalized),Carbon Steel,7.86,490.0,690.0,202.9,3,48.99,2,1518.9,6,General Purpose
CSN 15230 (heat treated),Carbon Steel,7.86,850.0,1000.0,294.1,4,41.36,3,1591.7,6,Structural
CSN 15230 (Heat-treatment nitrided steel),Carbon Steel,7.86,635.0,780.0,229.4,3,51.4,1,1535.0,8,General Purpose
CSN 15241 (heat treated),Carbon Steel,7.86,981.0,1177.0,346.2,3,43.36,3,1557.2,5,Structural
CSN 15241 (face hardened),Carbon Steel,7.86,981.0,1177.0,346.2,2,40.63,3,1548.5,6,Structural
CSN 15260,Carbon Steel,7.86,700.0,900.0,264.7,3,43.02,3,1547.9,6,Structural
CSN 15313,Carbon Steel,7.86,265.0,480.0,141.2,3,49.65,2,1521.5,7,General Purpose
CSN 15330 (Heat-treatment nitrided steel),Carbon Steel,7.86,637.0,834.0,245.3,3,42.21,3,1538.5,6,Structural
CSN 15340,Carbon Steel,7.86,785.0,981.0,288.5,3,40.28,3,1526.0,6,Structural
CSN 15432,Carbon Steel,7.86,490.0,690.0,202.9,3,48.52,2,1497.9,6,General Purpose
CSN 16220 (case-hardened),Carbon Steel,7.86,637.0,883.0,259.7,3,42.58,3,1557.1,6,Structural
CSN 16223,Carbon Steel,7.86,590.0,835.0,245.6,4,42.78,4,1544.9,6,Structural
CSN 16321,Carbon Steel,7.86,635.0,880.0,258.8,2,43.67,3,1556.4,6,Structural
CSN 16326,Carbon Steel,7.86,785.0,1080.0,317.6,3,40.7,3,1511.2,5,Structural
CSN 16329,Carbon Steel,7.86,285.0,440.0,129.4,3,45.8,3,1529.7,7,General Purpose
CSN 16343,Carbon Steel,7.86,900.0,1100.0,323.5,3,43.35,2,1555.9,6,Structural
CSN 16420 (case-hardened),Stainless Steel,7.86,785.0,932.0,274.1,8,23.92,3,1493.6,7,Cutting Tools
CSN 16430 (heat treated),Stainless Steel,7.86,880.0,1080.0,317.6,8,12.26,5,1450.6,4,Aerospace
CSN 16527,Carbon Steel,7.86,390.0,590.0,173.5,3,47.83,2,1520.7,7,General Purpose
CSN 16640 (heat treated),Carbon Steel,7.86,1275.0,1569.0,461.5,2,43.92,3,1526.7,5,Structural
CSN 17020 (normalized),Stainless Steel,7.86,245.0,441.0,129.7,6,24.33,4,1527.6,7,Valve Parts
CSN 17021 (normalized),Stainless Steel,7.86,415.0,590.0,173.5,9,25.98,2,1517.5,6,Cutting Tools
CSN 17022 (normalized),Stainless Steel,7.86,455.0,690.0,202.9,8,22.16,3,1515.3,6,Cutting Tools
CSN 17023 (normalized),Stainless Steel,7.86,495.0,740.0,217.6,8,24.66,3,1519.5,6,Cutting Tools
CSN 17040 (normalized),Stainless Steel,7.86,265.0,440.0,129.4,5,25.38,3,1525.1,7,Valve Parts
CSN 17041 (normalized),Stainless Steel,7.86,295.0,440.0,129.4,6,25.66,3,1496.0,7,Valve Parts
CSN 17113 (normalized),Stainless Steel,7.86,245.0,441.0,129.7,5,25.19,3,1495.6,7,Valve Parts
CSN 17115 (normalized),Stainless Steel,7.86,685.0,930.0,273.5,9,24.83,2,1497.8,6,Cutting Tools
CSN 17125 (normalized),Stainless Steel,7.86,270.0,460.0,135.3,9,16.62,5,1476.1,5,Marine
CSN 17145 (normalized),Stainless Steel,7.86,560.0,800.0,235.3,8,25.6,3,1509.6,6,Cutting Tools
CSN 17150 (normalized),Stainless Steel,7.86,650.0,900.0,264.7,8,22.69,3,1526.1,6,Cutting Tools
CSN 17240 (normalized),Stainless Steel,7.86,186.0,490.0,144.1,9,16.37,5,1403.6,5,Marine
CSN 17241 (normalized),Stainless Steel,7.86,195.0,530.0,155.9,9,15.88,4,1424.5,6,General Purpose
CSN 17243 (normalized),Stainless Steel,7.86,190.0,500.0,147.1,8,16.58,4,1477.7,6,General Purpose
CSN 17246 (normalized),Stainless Steel,7.86,210.0,550.0,161.8,8,16.26,5,1461.6,6,General Purpose
CSN 17247 (normalized),Stainless Steel,7.86,195.0,500.0,147.1,9,15.48,4,1451.4,6,General Purpose
CSN 17248 (normalized),Stainless Steel,7.86,205.0,500.0,147.1,8,17.18,4,1443.9,6,General Purpose
CSN 17249 (normalized),Stainless Steel,7.86,175.0,440.0,129.4,6,26.4,4,1505.0,7,Valve Parts
CSN 17251 (normalized),Stainless Steel,7.86,350.0,650.0,191.2,8,22.93,2,1522.5,6,Cutting Tools
CSN 17253 (normalized),Stainless Steel,7.86,350.0,700.0,205.9,9,26.91,3,1522.0,6,Cutting Tools
CSN 17255 (normalized),Stainless Steel,7.86,250.0,600.0,176.5,8,25.17,3,1542.0,7,Cutting Tools
CSN 17256 (normalized),Stainless Steel,7.86,230.0,500.0,147.1,8,16.61,4,1451.1,6,General Purpose
CSN 17259 (normalized),Stainless Steel,7.86,265.0,540.0,158.8,8,15.9,5,1458.3,6,General Purpose
CSN 17265 (normalized),Stainless Steel,7.86,230.0,550.0,161.8,8,16.36,5,1455.1,6,General Purpose
CSN 17346 (normalized),Stainless Steel,7.86,205.0,550.0,161.8,7,16.07,3,1431.0,7,General Purpose
CSN 17348 (normalized),Stainless Steel,7.86,215.0,550.0,161.8,8,17.65,4,1443.1,6,General Purpose
CSN 17359 (normalized),Stainless Steel,7.86,275.0,540.0,158.8,8,17.6,4,1457.7,6,General Purpose
CSN 17460 (normalized),Stainless Steel,7.86,295.0,635.0,186.8,8,24.81,3,1511.4,6,Cutting Tools
CSN 17465 (normalized),Stainless Steel,7.86,590.0,980.0,288.2,8,13.16,6,1463.4,4,Aerospace
CSN 17501 (normalized),Stainless Steel,7.86,490.0,640.0,188.2,8,24.25,3,1501.8,6,Cutting Tools
CSN 422303,Carbon Steel,7.16,240.0,360.0,105.9,3,46.64,1,1494.5,7,General Purpose
CSN 422304,Stainless Steel,7.16,270.0,420.0,123.5,6,21.52,3,1497.7,7,Valve Parts
CSN 422305,Carbon Steel,7.16,320.0,500.0,147.1,2,47.98,2,1502.5,7,General Purpose
CSN 422306,Carbon Steel,7.16,370.0,600.0,176.5,3,46.37,3,1498.6,7,General Purpose
CSN 422307,Carbon Steel,7.16,420.0,700.0,205.9,3,49.82,2,1513.6,7,General Purpose
CSN 422308,Carbon Steel,7.16,480.0,800.0,235.3,3,56.79,3,1503.0,6,General Purpose
CSN 422410,Stainless Steel,7.16,98.0,100.0,29.4,6,24.9,2,1479.6,9,General Purpose
CSN 422415,Carbon Steel,7.16,147.0,150.0,44.1,3,51.23,3,1513.4,7,General Purpose
CSN 422420,Stainless Steel,7.16,196.0,200.0,58.8,6,27.66,2,1468.6,8,General Purpose
CSN 422425,Carbon Steel,7.16,245.0,250.0,73.5,3,51.06,3,1494.2,7,General Purpose
CSN 422430,Stainless Steel,7.16,294.0,300.0,88.2,7,26.33,2,1480.8,8,General Purpose
CSN 422435,Carbon Steel,7.16,343.0,350.0,102.9,3,51.05,2,1499.6,6,General Purpose
CSN 422540,Carbon Steel,7.16,180.0,400.0,117.6,3,47.09,2,1539.5,6,General Purpose
CSN 422555,Carbon Steel,7.16,300.0,580.0,170.6,3,47.87,2,1515.7,7,General Purpose
CSN 422630,Stainless Steel,7.16,200.0,363.0,106.8,7,26.21,3,1443.6,8,General Purpose
CSN 422640,Carbon Steel,7.16,240.0,441.0,129.7,3,46.87,2,1502.9,7,General Purpose
CSN 422650,Carbon Steel,7.16,260.0,490.0,144.1,3,49.92,2,1533.5,6,General Purpose
CSN 242660,Carbon Steel,7.16,300.0,588.0,172.9,3,48.32,2,1501.7,6,General Purpose
CSN 422670,Carbon Steel,7.16,350.0,686.0,201.8,4,51.85,2,1523.8,7,General Purpose
CSN 422709,Carbon Steel,7.16,300.0,530.0,155.9,3,46.2,2,1502.5,7,General Purpose
CSN 422712,Carbon Steel,7.16,250.0,422.0,124.1,3,46.12,3,1521.4,7,General Purpose
CSN 422713,Carbon Steel,7.16,290.0,490.0,144.1,3,48.04,2,1528.0,8,General Purpose
CSN 422724,Carbon Steel,7.16,420.0,637.0,187.4,3,48.83,1,1520.2,7,General Purpose
CSN 422735,Carbon Steel,7.16,520.0,785.0,230.9,3,51.17,2,1507.8,7,General Purpose
CSN 422739,Carbon Steel,7.16,550.0,830.0,244.1,3,43.11,2,1534.6,6,Structural
CSN 422753,Carbon Steel,7.16,650.0,981.0,288.5,3,43.69,4,1542.6,6,Structural
CSN 422906,Carbon Steel,7.16,390.0,550.0,161.8,3,52.55,3,1510.2,7,General Purpose
CSN 422912,Carbon Steel,7.16,320.0,500.0,147.1,3,53.47,2,1515.2,7,General Purpose
CSN 423042,Stainless Steel,8.8,265.0,380.0,111.8,6,25.04,2,1498.7,7,Valve Parts
CSN 423044,Stainless Steel,8.8,265.0,380.0,111.8,5,26.86,3,1514.8,7,Valve Parts
CSN 423045,Stainless Steel,8.8,265.0,380.0,111.8,6,26.73,2,1519.2,8,Valve Parts
CSN 423047,Stainless Steel,8.8,265.0,380.0,111.8,6,25.24,3,1499.8,7,Valve Parts
CSN 423115,Copper Alloy,8.8,160.0,180.0,45.0,8,27.26,5,1053.6,8,Marine
CSN 423119,Copper Alloy,8.8,160.0,180.0,45.0,8,24.14,5,1061.5,8,Marine
CSN 423123,Copper Alloy,8.8,160.0,180.0,45.0,7,27.16,5,1058.9,8,Marine
CSN 423135,Copper Alloy,8.8,120.0,150.0,37.5,7,27.65,4,1044.1,9,Marine
CSN 423137,Copper Alloy,8.8,100.0,170.0,42.5,8,26.2,4,1044.1,8,Marine
CSN 423145,Copper Alloy,8.8,130.0,400.0,100.0,7,28.4,5,1079.0,8,Marine
CSN 423147,Copper Alloy,8.8,130.0,400.0,100.0,8,25.9,5,1051.3,9,Marine
CSN 423210,Copper Alloy,8.5,100.0,330.0,82.5,6,119.51,3,916.9,9,General Purpose
CSN 423212,Copper Alloy,8.5,100.0,330.0,82.5,6,115.34,4,895.5,9,General Purpose
CSN 423213,Copper Alloy,8.5,100.0,330.0,82.5,7,115.61,3,905.1,9,General Purpose
CSN 423214,Copper Alloy,8.5,100.0,330.0,82.5,6,126.53,5,922.5,9,General Purpose
CSN 423256,Copper Alloy,8.5,255.0,350.0,87.5,6,128.39,4,919.0,9,General Purpose
CSN 423311,Copper Alloy,8.5,350.0,600.0,150.0,8,123.55,8,956.5,5,Springs
CSN 424201,Stainless Steel,2.7,230.0,400.0,117.6,5,26.03,3,1548.3,8,Valve Parts
CSN 424203,Stainless Steel,2.7,230.0,430.0,126.5,5,25.05,3,1525.2,7,Valve Parts
CSN 424204,Stainless Steel,2.7,230.0,430.0,126.5,7,27.82,3,1465.0,7,Valve Parts
CSN 424250,Aluminum,2.7,190.0,340.0,97.1,9,121.45,3,689.7,8,Marine
CSN 424401,Aluminum,2.7,100.0,280.0,80.0,7,163.46,3,650.1,9,General Purpose
CSN 424413,Aluminum,2.7,110.0,200.0,57.1,7,176.55,2,640.4,8,General Purpose
CSN 424415,Aluminum,2.7,110.0,200.0,57.1,7,161.49,3,666.9,9,General Purpose
Steel ST3KP GOST 380-94,Carbon Steel,7.86,235.0,360.0,105.9,3,47.64,1,1510.4,7,General Purpose
Steel ST3PC GOST 380-94,Carbon Steel,7.86,245.0,370.0,108.8,4,54.49,3,1515.9,7,General Purpose
Steel ST3CP GOST 380-94,Carbon Steel,7.86,255.0,380.0,111.8,3,48.94,3,1527.7,7,General Purpose
Steel ST4KP GOST 380-94,Carbon Steel,7.86,255.0,400.0,117.6,3,51.01,1,1498.0,7,General Purpose
Steel ST4PS GOST 380-94,Carbon Steel,7.86,265.0,410.0,120.6,4,49.76,2,1504.7,7,General Purpose
Steel ST4SP GOST 380-94,Carbon Steel,7.86,265.0,410.0,120.6,3,47.41,2,1511.4,7,General Purpose
Steel ST5PS GOST 380-94,Carbon Steel,7.86,285.0,490.0,144.1,3,54.89,2,1502.1,7,General Purpose
Steel ST5SP GOST 380-94,Carbon Steel,7.86,295.0,490.0,144.1,3,52.08,2,1503.8,7,General Purpose
Steel ST6PS GOST 380-94,Carbon Steel,7.86,315.0,590.0,173.5,3,52.87,2,1498.4,7,General Purpose
Steel ST6SP GOST 380-94,Carbon Steel,7.86,320.0,600.0,176.5,3,53.93,2,1527.1,7,General Purpose
Steel S235 GOST 27772-88,Carbon Steel,7.86,225.0,360.0,105.9,4,48.2,2,1504.2,6,General Purpose
Steel S245 GOST 27772-88,Carbon Steel,7.86,235.0,370.0,108.8,3,52.37,2,1519.2,7,General Purpose
Steel S255 GOST 27772-88,Carbon Steel,7.86,245.0,370.0,108.8,4,50.67,3,1515.0,7,General Purpose
Steel S285 GOST 27772-88,Carbon Steel,7.86,265.0,390.0,114.7,3,51.16,2,1513.6,8,General Purpose
Steel S345 GOST 27772-88,Carbon Steel,7.86,325.0,450.0,132.4,3,49.76,3,1528.2,7,General Purpose
Steel S375 GOST 27772-88,Carbon Steel,7.86,335.0,480.0,141.2,3,45.86,2,1507.5,7,General Purpose
Steel 08 GOST 1050-88 (normalized),Carbon Steel,7.87,196.0,320.0,131.0,3,50.7,2,1520.4,6,General Purpose
Steel 10 GOST 1050-88 (normalized),Carbon Steel,7.86,205.0,330.0,143.0,3,46.37,1,1511.5,6,General Purpose
Steel 10 GOST 1050-88 (case-hardened),Carbon Steel,7.86,250.0,400.0,117.6,3,49.28,2,1475.7,7,General Purpose
Steel 10 GOST 1050-88 (Cold working),Carbon Steel,7.86,250.0,410.0,187.0,3,48.23,3,1514.1,7,General Purpose
Steel 10 GOST 1050-88 (Annealing or high tempering),Carbon Steel,7.86,190.0,290.0,143.0,3,51.29,2,1517.8,7,General Purpose
Steel 15 GOST 1050-88 (normalized),Carbon Steel,7.85,225.0,370.0,149.0,3,46.78,2,1522.9,7,General Purpose
Steel 15 GOST 1050-88 (case-hardened),Carbon Steel,7.85,250.0,450.0,132.4,2,46.23,2,1515.1,6,General Purpose
Steel 15 GOST 1050-88 (Cold working),Carbon Steel,7.85,340.0,440.0,197.0,4,47.15,2,1505.0,8,General Purpose
Steel 15 GOST 1050-88 (Annealing or high tempering),Carbon Steel,7.85,220.0,340.0,149.0,3,48.02,2,1503.2,7,General Purpose
Steel 20 GOST 1050-88 (normalized),Carbon Steel,7.86,245.0,410.0,163.0,3,49.58,1,1541.3,7,General Purpose
Steel 20 GOST 1050-88 (case-hardened),Carbon Steel,7.86,300.0,500.0,147.1,3,51.28,2,1510.4,7,General Purpose
Steel 20 GOST 1050-88 (Cold working),Carbon Steel,7.86,300.0,490.0,207.0,3,49.18,1,1506.9,7,General Purpose
Steel 20 GOST 1050-88 (Annealing or high tempering),Carbon Steel,7.86,240.0,390.0,163.0,3,45.64,3,1519.1,7,General Purpose
Steel 25 GOST 1050-88 (normalized),Carbon Steel,7.82,275.0,450.0,170.0,2,52.62,2,1491.2,6,General Purpose
Steel 25 GOST 1050-88 (case-hardened),Carbon Steel,7.82,350.0,550.0,161.8,3,50.28,2,1501.5,7,General Purpose
Steel 25 GOST 1050-88 (Cold working),Carbon Steel,7.82,350.0,540.0,217.0,3,48.87,2,1554.1,7,General Purpose
Steel 25 GOST 1050-88 (Annealing or high tempering),Carbon Steel,7.82,270.0,410.0,170.0,3,44.8,2,1516.0,7,General Purpose
Steel 30 GOST 1050-88 (normalized),Carbon Steel,7.85,295.0,490.0,179.0,3,53.34,2,1478.4,6,General Purpose
Steel 30 GOST 1050-88 (Improved),Carbon Steel,7.85,350.0,600.0,176.5,3,41.63,1,1499.1,7,General Purpose
Steel 30 GOST 1050-88 (Cold working),Carbon Steel,7.85,340.0,560.0,229.0,3,56.33,2,1535.2,7,General Purpose
Steel 30 GOST 1050-88 (Annealing or high tempering),Carbon Steel,7.85,290.0,440.0,179.0,3,43.68,2,1528.9,8,General Purpose
Steel 30 GOST 1050-88 (Quenched and tempered),Carbon Steel,7.85,295.0,575.0,169.1,3,50.13,2,1505.8,6,General Purpose
Steel 35 GOST 1050-88 (normalized),Carbon Steel,7.83,315.0,530.0,207.0,3,51.56,2,1524.0,7,General Purpose
Steel 35 GOST 1050-88 (Improved),Carbon Steel,7.83,380.0,650.0,191.2,3,49.86,3,1514.6,7,General Purpose
Steel 35 GOST 1050-88 (Quenching and cooling in the water),Carbon Steel,7.83,650.0,1000.0,294.1,3,41.25,3,1521.0,6,Structural
Steel 35 GOST 1050-88 (Cold working),Carbon Steel,7.83,350.0,590.0,229.0,3,50.25,2,1548.2,7,General Purpose
Steel 35 GOST 1050-88 (Annealing or high tempering),Carbon Steel,7.83,310.0,470.0,187.0,3,49.38,1,1517.8,7,General Purpose
Steel 35 GOST 1050-88 (Quenched and tempered),Carbon Steel,7.83,315.0,625.0,183.8,3,51.85,2,1541.3,7,General Purpose
Steel 40 GOST 1050-88 (normalized),Carbon Steel,7.85,335.0,570.0,217.0,3,49.45,2,1522.5,7,General Purpose
Steel 40 GOST 1050-88 (Improved),Carbon Steel,7.85,400.0,700.0,205.9,3,46.84,2,1526.9,7,General Purpose
Steel 40 GOST 1050-88 (Quenching and cooling in the water),Carbon Steel,7.85,650.0,1000.0,294.1,3,43.2,3,1526.7,6,Structural
Steel 40 GOST 1050-88 (Cold working),Carbon Steel,7.85,380.0,610.0,241.0,2,48.39,2,1501.1,7,General Purpose
Steel 40 GOST 1050-88 (Annealing or high tempering),Carbon Steel,7.85,330.0,510.0,197.0,3,51.13,3,1515.4,7,General Purpose
Steel 40 GOST 1050-88 (Quenched and tempered),Carbon Steel,7.85,355.0,675.0,198.5,2,51.54,3,1529.9,7,General Purpose
Steel 45 GOST 1050-88 (normalized),Carbon Steel,7.81,355.0,600.0,220.0,4,52.07,2,1513.0,7,General Purpose
Steel 45 GOST 1050-88 (Improved),Carbon Steel,7.81,450.0,750.0,220.6,3,50.22,2,1541.4,7,General Purpose
Steel 45 GOST 1050-88 (Quenching and cooling in the oil),Carbon Steel,7.81,650.0,900.0,264.7,4,44.4,3,1541.8,6,Structural
Steel 45 GOST 1050-88 (Quenching and cooling in the water),Carbon Steel,7.81,700.0,1000.0,294.1,3,45.78,4,1531.5,5,Structural
Steel 45 GOST 1050-88 (Quenching and heating),Carbon Steel,7.81,450.0,750.0,220.6,3,47.33,2,1524.7,7,General Purpose
Steel 45 GOST 1050-88 (Cold working),Carbon Steel,7.81,440.0,640.0,241.0,3,50.0,1,1495.4,7,General Purpose
Steel 45 GOST 1050-88 (Annealing or high tempering),Carbon Steel,7.81,350.0,540.0,207.0,2,50.17,3,1509.1,7,General Purpose
Steel 45 GOST 1050-88 (Quenched and tempered),Carbon Steel,7.81,375.0,705.0,207.4,4,49.34,2,1512.9,6,General Purpose
Steel 50 GOST 1050-88 (normalized),Carbon Steel,7.81,355.0,600.0,241.0,3,49.44,2,1529.9,7,General Purpose
Steel 50 GOST 1050-88 (Improved),Carbon Steel,7.81,700.0,900.0,264.7,3,40.5,3,1564.1,6,Structural
Steel 50 GOST 1050-88 (Cold working),Carbon Steel,7.81,450.0,660.0,255.0,3,51.32,2,1520.6,6,General Purpose
Steel 50 GOST 1050-88 (Annealing or high tempering),Carbon Steel,7.81,370.0,560.0,217.0,3,46.74,2,1505.6,7,General Purpose
Steel 50 GOST 1050-88 (Quenched and tempered),Carbon Steel,7.81,400.0,725.0,213.2,3,55.97,1,1526.9,7,General Purpose
Steel 55 GOST 1050-88 (normalized),Carbon Steel,7.82,375.0,630.0,255.0,3,50.21,1,1543.5,7,General Purpose
Steel 55 GOST 1050-88 (Quenched and tempered),Carbon Steel,7.82,420.0,775.0,227.9,3,49.92,2,1557.0,7,General Purpose
Steel 60 GOST 1050-88 (normalized),Carbon Steel,7.81,400.0,680.0,255.0,4,46.51,2,1540.2,7,General Purpose
Steel 60 GOST 1050-88 (Quenched and tempered),Carbon Steel,7.81,450.0,825.0,242.6,3,46.63,3,1554.9,6,Structural
Steel 20G GOST 1050-88 (normalized),Carbon Steel,7.82,280.0,460.0,135.3,2,50.12,2,1511.2,7,General Purpose
Steel 20G GOST 1050-88 (Quenching and cooling in the water),Carbon Steel,7.82,420.0,570.0,167.6,3,50.78,1,1520.0,7,General Purpose
Steel 30G GOST 1050-88 (normalized),Carbon Steel,7.81,320.0,550.0,161.8,3,49.39,2,1485.5,7,General Purpose
Steel 30G GOST 1050-88 (Quenching and cooling in the water),Carbon Steel,7.81,560.0,680.0,200.0,2,53.03,1,1515.6,7,General Purpose
Steel 40G GOST 1050-88 (normalized),Carbon Steel,7.81,360.0,600.0,176.5,4,45.56,3,1511.8,7,General Purpose
Steel 40G GOST 1050-88 (Quenching and cooling in the water),Carbon Steel,7.81,590.0,840.0,247.1,3,42.23,3,1547.4,6,Structural
Steel 50G GOST 1050-88 (normalized),Carbon Steel,7.81,400.0,660.0,194.1,3,48.84,2,1495.4,7,General Purpose
Steel 50G GOST 1050-88 (Quenching and cooling in the water),Carbon Steel,7.81,560.0,820.0,241.2,3,44.72,2,1552.3,5,Structural
Steel 65G GOST 1050-88 (normalized),Carbon Steel,7.85,440.0,750.0,220.6,3,49.68,1,1538.5,7,General Purpose
Steel 65G GOST 1050-88 (Improved),Carbon Steel,7.85,700.0,900.0,264.7,3,45.51,3,1550.4,6,Structural
Steel 65G GOST 1050-88 (Quenching and cooling in the water),Carbon Steel,7.85,1250.0,1500.0,441.2,3,40.43,4,1548.8,6,Structural
Steel A11 GOST 1414-75,Carbon Steel,7.86,390.0,490.0,207.0,3,49.52,2,1514.8,7,General Purpose
Steel A12 GOST 1414-75,Carbon Steel,7.86,390.0,510.0,217.0,3,52.42,1,1516.5,6,General Purpose
Steel A20 GOST 1414-75,Carbon Steel,7.86,390.0,530.0,217.0,3,47.74,1,1515.7,7,General Purpose
Steel A30 GOST 1414-75,Carbon Steel,7.86,390.0,540.0,223.0,4,50.24,2,1505.8,7,General Purpose
Steel A35 GOST 1414-75,Carbon Steel,7.86,390.0,570.0,229.0,3,45.01,2,1521.8,8,General Purpose
Steel 15Ch GOST 4543-71,Carbon Steel,7.86,490.0,690.0,202.9,3,54.42,2,1532.9,7,General Purpose
Steel 20Ch GOST 4543-71,Carbon Steel,7.83,635.0,780.0,179.0,3,49.35,2,1498.7,7,General Purpose
Steel 20Ch GOST 4543-71 (normalized),Carbon Steel,7.83,300.0,600.0,176.5,3,48.19,2,1524.2,7,General Purpose
Steel 20Ch GOST 4543-71 (Improved),Carbon Steel,7.83,500.0,700.0,205.9,3,53.88,2,1506.0,7,General Purpose
Steel 20Ch GOST 4543-71 (Quenching and cooling in the oil),Carbon Steel,7.83,630.0,850.0,250.0,3,41.32,3,1558.8,6,Structural
Steel 30Ch GOST 4543-71,Carbon Steel,7.82,685.0,880.0,187.0,3,42.86,3,1544.5,6,Structural
Steel 35Ch GOST 4543-71,Carbon Steel,7.85,735.0,910.0,197.0,4,43.38,3,1552.6,7,Structural
Steel 40Ch GOST 4543-71,Carbon Steel,7.85,785.0,980.0,217.0,2,42.23,2,1534.2,6,Structural
